id	tweet	candidato	marcador	classe
twe981738674911051776	Amanhã, o pessoal que é 'contra a corrupção de todos' volta pra sua vida cotidiana, sendo governada por Geraldo Alckmin, Michel Temer, Romero Jucá, Rodrigo Maia, Aécio Neves, Eliseu Padilha, Valdir Raupp, Fernando Capez, Beto Richa, Roberto Freire...	temer	alysson	Rejeição
twe977562809100840961	@manudeputada @deputadaluciana O marxismo começou na Rússia: 35 milhões de russos fuzilados. repetiu o marxismo na… https://t.co/CPxqYAGzSK	manuela	alysson	Não sei
twe982700242553491457	@silva_marina Marina é  aecio!	marina	alysson	Neutro
twe977561008121286656	@manudeputada Não podemos esquecer https://t.co/uNpomilUfP	manuela	alysson	Neutro
twe982627310347137024	@UOL Quem os dejetos, mentirosos e hipócritas @folha @UOLNoticias @UOL pensam que enganam? Paulo preto é operador d… https://t.co/oReuZjcr7z	alckmin	alysson	Não sei
twe977336721233690624	HOTEL ONDE LULA ESTA HOSPEDADO ?Sarandi - RS promete virar a noite. ??????????????? O STF te livrou Lula, mas você… https://t.co/D6iLhRFZI1	lula	alysson	Não sei
twe978050927205715968	Os caras “expropriam” até data de fundação dos outros partidos. Em 1922 foi fundado o PCB. O PCdoB é de 1962, cisma maoísta do “partidão” https://t.co/gxsELwzAHe	manuela	alysson	Rejeição
twe977569293943689216	@manudeputada "Eles" agirem no tapetão? "Eles" tem com quem aprender....	manuela	alysson	Neutro
twe984289473159680000	@carlitasFLA @JornalOGlobo É o nivel do nosso povo. O STJ salvou Alckmin essa tarde e ninguém falou nada. Por que?… https://t.co/QylPP6wbzX	alckmin	alysson	Rejeição
twe985090452868206592	Faz tempo que a PGR quer melar a eleição. Chegaram ao ponto de pedir a inconstitucionalidade do voto impresso!Ou seja, defendem uma sistema que pode ser fraudado. Agora perseguem Bolsonaro com bobagens enquanto protegem Alckmin. #ForaRaquelDodge	alckmin	alysson	Rejeição
twe980925911368380418	nunca assinei @skybrasil e acho que este é um boicote que vale a pena https://t.co/Vo5D5ekBY3	lula	alysson	Neutro
twe977988881994993664	Pessoas lindas de Porto Alegre: amanhã às 18:30 eu e a maravilhosa @manudeputada estaremos na UFRGS! Apareçam, por favor! https://t.co/RtvM1AtGJ4 https://t.co/7zQDzgpnNb	manuela	alysson	Aprovação
twe983680649684021248	Ciro Gomes dá pescotapa no cara do Mamãefalei Manuela dá cuecão no Kim Kataguiri Marina Silva diz que nada se resolve na briga e vai chamar a professora	marina	alysson	Rejeição
twe982027875439337474	Como o cérebro humano permite a si mesmo engano e hipocrisia tão flagrantes? Se existem grandes manchetes falando sobre seu caixa dois e milhões em propinas - enquanto você anda livre - talvez fique em silêncio sobre "impunidade" https://t.co/HaNTsyGLwl - https://t.co/qCFuIzCGRJ https://t.co/nS2lKq36ha	alckmin	alysson	Rejeição
twe978280727690268673	Porque o PRB Tera uma vaga de vice na chapa de @FlavioDino ? PQ Russomano de SP fechou  Apoio do PRB a legenda de @cirogomes nacionalmente !  @blogdokiel @BlogdoNeto @danielareporter @depcafeteira @_helenaleite @BobLobato @EriceiraGlaucio @joaquimhaickel @gilbertoleda @diegoemir	ciro	alysson	Neutro
twe981663077421797376	FIM do Jornal Nacional com o Willian Boner lendo o Twitter do General Vilas Boas postado agora a pouco.  Para quem entende, o RECADO foi bem dado: ou o STF nega o Habeas Corpus do Lula/LADRÃO ou haverá consequências seríssimas. PARABÉNS General! A nação lhe agradece!	lula	alysson	Rejeição
twe978426190074609665	Ciro Gomes elogia STF sobre liminar que impediu prisão de Lula https://t.co/fmvOxmcMbl	ciro	alysson	Aprovação
twe977334968396349440	A Lava Jato não é contra a corrupção e é pra fazer o que você disse, entregar pra estrangeiros. Temer quer privatizar a Eletrobras? Lava Jato faz operação e acaba com a imagem da empresa; Petrobras? Mesma coisa e assim por diante; O timing da lava jato bate com a doação d empresa https://t.co/sXfSEm9XGj	temer	alysson	Neutro
twe977338552370397184	Qdo a "educação" da cadeia entra na escola, chamam isso de ressocializacao, n é integrar o criminoso a sociedade, m… https://t.co/Z2myHYJ0hL	bolsonaro	alysson	Não sei
twe978067868834258945	orgulho do meu estado https://t.co/LJ18Ziym6I	lula	alysson	Não sei
twe977350600055836672	Os dois vão participar de atos em apoio às suas pré-candidaturas - embora só a de Bolsonaro esteja de acordo com a lei. https://t.co/OsV4y45pG0	bolsonaro	alysson	Aprovação
twe978027005227732992	@manudeputada @PCdoB_Oficial Você consegue ser pior que a marmota da Dilma.	manuela	alysson	Rejeição
twe978047511276539905	Temer é candidato. Bolsonaro é candidato. Rodrigo Maia é candidato. Levy Fidélis é candidato. Flávio Rocha é candidato. Qualquer corrupto, protofascista, racista, homofóbico pode ser candidato. E o Lula não? Me desculpem os moderados, mas não tem eleição se Lula não for candidato	lula	alysson	Aprovação
twe978027645245054978	Lula é POP, Lula é do Povo. #Faustao #Eliana #DingDong  #SCcomLula  #LulaPeloSul https://t.co/lOwcTfc90U	lula	alysson	Aprovação
twe978453626929778688	Só lembrando... https://t.co/dOXkdRIYDG	ciro	alysson	Não sei
twe977338725020581890	Power point o quê!! Que o que está acontecendo no Sul com Lula, que não consegue mais falar em nenhuma  cidade, inspire o resto do país e sirva de exemplo para os ministros do @STF_oficial. O país está com nojo de vcs. #CorraLulaCorra #STFVergonhaNacional  #VemPraRua3deAbril	lula	alysson	Rejeição
twe980937594895785985	@stanleyburburin Além das "privatizações sonhadas", há aquelas já feitas e entregues pelo governo Temer, sob a batuta do "Eminente Engenheiro" Pedro Parente (não é brincadeira ele ganhou este título). É dinheiro que não acaba mais. https://t.co/2LwGDbIKPh	temer	alysson	Rejeição
twe981689413376856064	primeiramente fora temer, e em segundo? — E aí bebê, vai chupar ou vai lamber ? https://t.co/9WLNCtO12W	temer	alysson	Rejeição
twe981716271443083264	Temer se confunde em discurso e chama Corinthians de "Sociedade Esportiva" https://t.co/IDzz1JlWum &lt; mais no link https://t.co/smEVTiD2L7	temer	alysson	Neutro
twe978002753984303106	@manudeputada @PCdoB_Oficial "Liberdade religiosa" igual a de Lenin e sua perseguição à Igreja Ortodoxa. "Combate às ditaduras" que não fossem comunistas, estas vocês apoiam. "Defesa dos trabalhadores" vivendo às custas deles por meio de sindicatos.  Parabéns PCdoB, que seja seu último ano de vida.	manuela	alysson	Rejeição
twe978074443690987520	@manudeputada @PCdoB_Oficial 96 anos de genocídio, parabéns	manuela	alysson	Rejeição
twe984423625842462720	Bom dia @Gen_VillasBoas   Alguma palavra sobre Alckmin estar fora do radar da Lava Jato por decisão do STJ!?  Algum… https://t.co/SXDHtnfcTF	alckmin	alysson	Rejeição
twe982785338170138624	A Tulla vota no Bolsonaro ? Vou ter q redefinir meus memes https://t.co/pGygvD3IN0	bolsonaro	alysson	Neutro
twe981663995798151168	PT acusa Globo de incitar golpe militar para dobrar STF a prender Lula hoje https://t.co/NQWVz4GA1y via @viomundo	lula	alysson	Aprovação
twe982664546098843648	Rede lança pré-candidatura de Marina Silva à Presidência da República https://t.co/9bR66iLnld #G1 https://t.co/JPxEVbmq37	marina	alysson	Aprovação
twe984393623922991104	E o STJ desceu para...a Justiça Eleitoral... de São Paulo o inquérito da delação da Odebrecht sobre, disse a empreiteira, doação de R$ 10 milhões a Alckmin. Assim, na cara duríssima. Não seria mais fácil nomearem logo alguém sem perder tempo com eleição?	alckmin	alysson	Rejeição
twe982804410433769472	nem lula 2018 mto menos bolsonaro 2018  eu sou eu &amp; vc 2018	bolsonaro	alysson	Rejeição
twe977706378784538624	É melhor para a sociedade lidar com Ciro Gomes e Jair Bolsonaro do que com Marina Silva. Ela se esconde, escamoteia o que realmente pensa, posa de santa e não cultiva a franqueza. Esta conduta é péssima.	ciro	alysson	Aprovação
twe982368273672146945	Para a esquerda, política é religião e líder partidário é Deus. https://t.co/OBhScmeZ43	alckmin	alysson	Neutro
twe982689764812959744	@sebastianmanteu @SilvasantosSac @DeCaraPraLua Foi assim, teve a delação e a procuradoria exigiu provas e ficou sup… https://t.co/04kXKidGXx	temer	alysson	Rejeição
twe981675815392989184	É a vitória de gente como Bozonaro, Frota, Kim, Lobão, Temer, Aécio, Jucá, Serra e mais uma cambada de ladrões que estão soltos, rindo de todo mundo. É a Vitória do fanatismo religioso de Dallagnol e Bretas e do fascismo de Moro. Mas, principalmente é a derrota do Brasil.	temer	alysson	Rejeição
twe982377078166310917	Dois presidenciáveis saíram dos cargos que ocupavam hoje para disputar a presidência:  Henrique Meirelles e Geraldo Alckmin.   Com todo o circo montado em São Bernardo, Lula acabou tirando a cobertura da imprensa nessas duas pautas importantes. Genial.	alckmin	alysson	Neutro
twe978325784900308994	[POINT RHEMA]®: Ciro Gomes equipara igrejas ao narcotráfico em discurso sobre “fraude nas eleições” de 2018 ... https://t.co/g6Mu5YIwXN	ciro	alysson	Neutro
twe980929566108798976	#VemPraRua3deAbril  Justiça para Todos! Lula Na Cadeia Já! https://t.co/dp5Qpkpbjn	lula	alysson	Rejeição
twe977699507831009280	A esquerda queima a bandeira brasileira.. A candidata a presidente pelo pc do B é a Manuela, que com seu rosto angelical quer mesmo é o comunismo no Brasil   Seu partido @manudeputada   Queimando a bandeira!!  Vai mudar para uma vermelha quando assumir a presidência? https://t.co/kOodlpYKdP	manuela	alysson	Rejeição
twe977923252797558784	@Junior71194373 @manudeputada Mas quem disse que a mão do bandido é a certa, por isso é bandido por não respeitar a… https://t.co/ZpGG5AtLOZ	manuela	alysson	Não sei
twe982819486838546432	@geraldoalckmin Concordo en gênero e grau com as palavras do ilustre governador. E digo mais, inclusive tem que ser investigado a propina junto a ALSTON na gestão de Vossa Excelência.	alckmin	alysson	Aprovação
twe977368918833664001	A pergunta é séria, @manudeputada: quer me pagar logo o que ficou devendo no processo que a senhora moveu contra mim e perdeu, ou devo me dar ao trabalho de pedir cumprimento de sentença? Qualquer coisa, manda um DM ?	manuela	alysson	Rejeição
twe981661192501506049	Los militares irrumpen en el caso Lula con duras advertencias contra la impunidad https://t.co/6u8IXJ668p vía @elpais_inter	lula	alysson	Não sei
twe978047178810843136	Povo de Pato Branco se ergue contra Lula, fecha estrada e bloqueia caminho do comboio petista (Veja vídeo) https://t.co/dBQcvOSLri https://t.co/OSi33GFvLK	lula	alysson	Rejeição
twe977477474777948160	@Collor @cirogomes @silva_marina @Haddad_Fernando @RodrigoMaia @jdoriajr https://t.co/wImjHYsN1r	ciro	alysson	Neutro
twe983669716618268672	Pré-candidatos a presidência até o momento:  Direita: - Bolsonaro  Centro: - Nenhum   Esquerda: - Amoedo, Flávio Rocha, Alckmin, Henrique Meirelles   Extrema-esquerda: - Boulos, Manuella D'avilla, Ciro Gomes, Marina Silva, Joaquim Barbosa	marina	alysson	Neutro
twe984806615567228928	Se a Marina Silva abrisse um restaurante https://t.co/nes4DVCoxL	marina	alysson	Não sei
twe984617515451060225	Alckmin escapou da lava jato e eu não vi um militar chiar	alckmin	alysson	Rejeição
twe978630485650870272	Ciro Gomes elogiou a atuação do STF no caso do habeas corpus do condenado Lula e classificou a prisão em segunda instância como "uma aberração do direito no #Brasil".   https://t.co/x2ut7WjqEn	ciro	alysson	Aprovação
twe983723047235543040	Sou a favor da prisão em 2ª instância com o fim do foro privilegiado. Temer, Aécio, Renan e todos os que estão escondidos atrás do foro também precisam ser punidos. #ForumDaLiberdade https://t.co/HIiNCf267o	marina	alysson	Rejeição
twe978227545840766976	Deixem isso pra lá @pmceara. Nesse país, traficante anda de jatinho, pago pelo governo. Eles mandam no país. Se eu… https://t.co/nBy8iiySv1	lula	alysson	Rejeição
twe982244881966907394	Tá vendo? Explode tudo, muito mais fácil que ter que aguentar político ficar fazendo showzinho na tv, falando que t… https://t.co/vPFHreYVCt	alckmin	alysson	Não sei
twe978228107432939520	Eu vivi pra ver Lula, o líder ideológico do “Não acabou, tem que acabar, eu quero o fim da Polícia Militar” pedindo pra PM invadir a casa e descer o cacete num cidadão ?  Eu acho que tem algo de muito confuso nesse país	lula	alysson	Rejeição
twe981660784479612929	Lewandowisk  tentando salvar o condenado Lula sobe o tom e invade o voto de Rosa Weber https://t.co/P5Wunf0bq8	lula	alysson	Rejeição
twe978271185891938304	@guifmz @hsteix @theaneferreira Que candidato de esquerda meu? Só se for o Ciro Gomes, Lula nem candidato vai sair,… https://t.co/isvuEcFAnQ	ciro	alysson	Aprovação
twe981110080023261185	Justiça e política voltam a se cruzar com Lula e Temer https://t.co/uZ8zpBopp3 https://t.co/ttDvqY9gae	temer	alysson	Neutro
twe984924434984140800	Gostei de um vídeo @YouTube https://t.co/dlegtvVKdBáveis - Alckmin / Marina / Amoedo / Ciro	alckmin	alysson	Não sei
twe978007127993315328	Os caras “expropriam” até data de fundação dos outros partidos. Em 1922 foi fundado o PCB. O PCdoB é de 1962, cisma maoísta do “partidão” https://t.co/gxsELwzAHe	manuela	alysson	Neutro
twe978062549534019584	essa é a manuela, uma jornalista e política. defende os direitos das mulheres, sociedade lgbtq+, negros, e todos os grupos q sofrem preconceito. ela irá concorrer à presidência. ao invés de ter q decidir entre votar no bolsonaro ou no lula, pq vcs n consideram votar nela? ;) https://t.co/cSgq0wa3n0	bolsonaro	alysson	Rejeição
twe983545305424695297	Um "Fórum da Liberdade" c Amoedo, Sérgio Moro, Marina Silva, Flavio Rocha e Meirelles na mesma semana em q Lula está preso e perdeu sua liberdade por um golpe de estado dado por essas mesmas personagens. Nojo define	marina	alysson	Rejeição
twe983377761841672193	O nome de Marina Silva já foi confirmado como pré-candidata à presidência pela Rede Sustentabilidade, partido funda… https://t.co/etKDTcqSWY	marina	alysson	Neutro
twe984193153740787713	nossaa... por...que...será...neh....? ?... https://t.co/aaHlxPn7wn	alckmin	alysson	Não sei
twe978094972594515968	Os caras “expropriam” até data de fundação dos outros partidos. Em 1922 foi fundado o PCB. O PCdoB é de 1962, cisma maoísta do “partidão” https://t.co/gxsELwzAHe	manuela	alysson	Neutro
twe982741989081931777	L - Lula preso G - Galera, FODEU B - Bolsonaro vai ser eleito T - Tamo na merda	bolsonaro	alysson	Aprovação
twe977806865743654912	&gt;EstadaoPolitica Para Ciro Gomes, eleições de 2018 serão 'as mais fraudadas da história' https://t.co/vknK2qNTd7 https://t.co/x7bKXENEeE	ciro	alysson	Neutro
twe980940074773774337	Quando se fala que o país está à venda não é exagero. Temer quer fazer tudo correndo pra satisfazer a jato os que o… https://t.co/ITOQZn7jaG	temer	alysson	Rejeição
twe984872698068299776	Alckmin prestou depoimento sigiloso ao STJ. Não teve escolta, a equipe da Globo não madrugou pra fazer a cobertura. Na verdade, Alckmin sequer saiu de casa, o depoimento foi por escrito. Ser tucano é deitar eternamente em berço esplêndido	alckmin	alysson	Rejeição
twe982418636882235392	bolsonaro não tem seguidores por causa de suas ideias políticas e sim pelos pensamentos escrotos e preconceituosos que ele prega e os bolsobosta apoiam pq pensam as mesma merda https://t.co/YvWgrsRnvP	bolsonaro	alysson	Rejeição
twe982726337055117312	Hoje, não há lado certo ou lado errado. Lula é figura histórica importante. Só que governou com as figuras + arcaicas da política brasileira: Temer, Sarney, Renan... Lula quer mas não é o nosso Mandela. É um criminoso que vai cumprir sua pena. Que venham os próximos. Democracia!	temer	alysson	Rejeição
twe982422068888244224	Ah tá https://t.co/1AY98eywK0	bolsonaro	alysson	Não sei
twe978091378025680897	COMUNISTA FALANDO DE LIBERDADE: A MESMA COISA QUE O GOLEIRO BRUNO FALAR DE RESPEITO AS MULHERES. https://t.co/iqiLJLVOT7	manuela	alysson	Rejeição
twe982743966381637632	Marina Silva lança pré-candidatura à Presidência e diz que 'lei é para todos' https://t.co/l8rufUnReh #JornalExtra https://t.co/9hqD9HqQlm	marina	alysson	Neutro
twe981747786562580481	realmente https://t.co/kaqLOweJVJ	temer	alysson	Não sei
twe984818833495126016	Depois que blindaram o Alckmin já tem tuíte de General falando que vai intervir, ou tá de boas?	alckmin	alysson	Rejeição
twe980941064331767809	@silvinha666 O Temer tá aí né?	temer	alysson	Neutro
twe982434293845815296	se vc odeia bolsonaro dê RT nesse tweet para limpar seu twitter de bolsominions	bolsonaro	alysson	Rejeição
twe984537293418614785	Agora no blog: Procurador que salvou Alckmin da Lava-Jato é primo de um velho aliado do tucano https://t.co/gxvjEuAAyi	alckmin	alysson	Neutro
twe983545809303212032	Ciro Gomes dá pescotapa no cara do Mamãefalei Manuela dá cuecão no Kim Kataguiri Marina Silva diz que nada se resol… https://t.co/iOGAoD0Xxx	marina	alysson	Rejeição
twe977422682672193536	@geraldoalckmin @cirogomes @Haddad_Fernando @Collor https://t.co/7iIkiFhBCJ	ciro	alysson	Não sei
twe981745777629376512	o temer é feio	temer	alysson	Rejeição
twe981661696296128512	Reação desesperada de Marco Aurélio e Lewandowski mostra que a casa do HC de Lula caiu.	lula	alysson	Rejeição
twe983090453359755265	@sandeyy2 @jostrapazzo @welber2675 @silva_marina Rapaz, quando você estava nascendo muitos que hoje se revoltam com… https://t.co/59KqNGXvuK	marina	alysson	Não sei
twe977664522327674880	@manudeputada Sua enchessão de saco da vontade de me matar. Assassina	manuela	alysson	Rejeição
twe982689826154704896	@lg579 @flpcv @rocco_joao @FernandoHoliday Ok, conta outra história porque pedalada fiscal nunca fez nenhum outro p… https://t.co/gaxB1x9wE6	temer	alysson	Rejeição
twe981665648060387334	@ianbremmer If Lula is arrested this will be the final result of his policy of commitment, with which the PT saved… https://t.co/5oFITNzbim	lula	alysson	Não sei
twe982581364057714690	No whatsapp do grupo dos brasileiros em Pequim rolou uma revolta porque tá proibida discussão política e daí os ant… https://t.co/OyJB98H5F8	bolsonaro	alysson	Não sei
twe984579206771245056	Fui no perfil da @AnaPaulaVolei buscar a defesa pela Lava Jato depois do drible dado por Geraldo Alckmin, pois ela é uma das figuras públicas que mais defendeu a operação nos últimos tempos. Não encontrei nada. ?	alckmin	alysson	Rejeição
twe983519213062164480	Caetano bilolô de vez? falar que vai votar em Ciro Gomes ou Marina Silva pra defender ou homenagear Lula é viajar na maionese né não? Vote em quem quiser, mas não diga sandices... https://t.co/SUj6g2glaw	marina	alysson	Rejeição
twe982746256639393798	@joao_v2016 Eles vão tacar oq no Bolsonaro ? Bala? Ou os cartões do bolsa família... Ah esqueci, foi o Lula que deu essa regalia rs foi mal	bolsonaro	alysson	Aprovação
twe984410662087659521	Quem acreditou que o Alckmin ia se enrolar é muito otário https://t.co/ZpX3yWtlGe	alckmin	alysson	Rejeição
twe978136803180990464	@manudeputada @PCdoB_Oficial “Combate às ditaduras”...é muita dissimulação. Muita. Não têm um pingo de vergonha na cara. Vocês são o PCdoB, pô?! Esqueceram?! Cara de pau!!	manuela	alysson	Rejeição
twe978093664378515456	Lula é “ ovocionado” em São Miguel do Oeste e pede ajuda  da polícia ~fascista~ ☂️  #LulaNaCadeia https://t.co/4QXf97Ozu3	lula	alysson	Rejeição
twe978108761662525441	@manudeputada @PCdoB_Oficial A história do Comunismo é simetricamente oposta à "maravilha" que você descreve acima. Se tem algo que o comunismo nunca fez foi lutar pela liberdade, seja religiosa, seja de qualquer tipo. Comunismo é DITADURA. Basta olhar para a montanha de cadáveres que ele deixou no Séc. XX.	manuela	alysson	Rejeição
twe982431130296160257	mano eu realmente não entendo como o Bolsonaro tem eleitores  tipo até o Lula eu entendo  mas o Bolsonaro?????  ele não acrescenta em basicamente NADA na política e na economia brasileira é só um lixo que espalha ódio	bolsonaro	alysson	Rejeição
twe978438231300694016	E esse aquí ainda quer ser Presidente. https://t.co/BO81JrEsxw	ciro	alysson	Não sei
twe982692212252266496	Hoje, não há lado certo ou lado errado. Lula é figura histórica importante. Só que governou com as figuras + arcaicas da política brasileira: Temer, Sarney, Renan... Lula quer mas não é o nosso Mandela. É um criminoso que vai cumprir sua pena. Que venham os próximos. Democracia!	temer	alysson	Rejeição
twe978054918731960320	@manudeputada @PCdoB_Oficial "combate às ditaduras"? Vocês apoiam os Regimes de Cuba, Coreia do Norte, China Venezuela etc! Vocês combatem a democracia e querem a  ditadura do proletariado!	manuela	alysson	Rejeição
twe977370259400388608	A pergunta é séria, @manudeputada: quer me pagar logo o que ficou devendo no processo que a senhora moveu contra mim e perdeu, ou devo me dar ao trabalho de pedir cumprimento de sentença? Qualquer coisa, manda um DM ?	manuela	alysson	Rejeição
twe982809244041916416	Jornalista  da Globo fazendo   propaganda eleitoral de Marina   SILVA.	marina	alysson	Aprovação
twe980924684987486208	O ano é 2050  PT não existe mais Lula está morto há anos O Brasil está em completo caos  Lula segue sendo julgado a… https://t.co/70wXruFfCS	lula	alysson	Rejeição
twe978434539881156608	Prováveis candidatos a Presidência do Brasil em 2018: Lula, Alckimin, Bolsonaro, Collor, Ciro Gomes, Marina Silva, Temer, Rodrigo Maia, Álvaro Dias, Guilherme Boulos, Levy Fidelix, João Amoedo e Manuela D'Ávila. https://t.co/FIyvc9FMFO	ciro	alysson	Neutro
twe982414461251325953	Não é defendendo,mas essa pressão para o Lula ser preso justamente em ano eleitoral é porque os eleitores de outros candidatos a presidência principalmente os do Bolsonaro tem medo da sua força e ele acabar se reelegendo  #OcupaSaoBernardo https://t.co/q4dK6jQyAO	bolsonaro	alysson	Rejeição
twe981663478044876800	Noblat, aquele que deu a renúncia do Temer em 1ª mão ano passado, desdenhou das manifestações ontem. Esse manja.	temer	alysson	Rejeição
twe983495351947710466	Marina Silva vê “pacto de impunidade” contra a Lava Jato https://t.co/gCb0O82EUK	marina	alysson	Neutro
twe978103213453754369	Mulher desiste de ser madrinha de casamento ao descobrir que noivo é fã de Bolsonaro https://t.co/XVc4zoWEn6	bolsonaro	alysson	Rejeição
twe984973342326345728	Eu sou contra qualquer privatização de empresas estatais que dem ate 1 real de lucro.......sendo deficitaria vender… https://t.co/z4lRkiTB2r	marina	alysson	Neutro
twe984925777220325376	Vários companheiros do PT, inclusive eu, foram acusados de receber dinheiro para campanhas, sem que qualquer reciprocidade tenha sido relatada. O mesmo MPF que nos acusa dos piores crimes, vem a público defender Alckmin. Só tem uma explicação: alinhamento ideológico!	alckmin	alysson	Rejeição
twe978226115390181376	MT boa, inclusive os personagens que representam a Dilma e o Lula hehehehe https://t.co/NzzXEERTjs	lula	alysson	Aprovação
twe977527946742255616	@manudeputada @CacoBrasil2 A impunidade promove a barbárie.	manuela	alysson	Rejeição
twe984571622102327296	Camarotti: "Tucanos respiram aliviados com envio do caso Alckmin para Justiça Eleitoral, mas temem desgaste político"  A lei é para todos, não é mesmo?	alckmin	alysson	Rejeição
twe982043277946949633	@silva_marina De fato lamentavel, mas ao mesmo tempo passa para nós a segurança de que os crimes cometidos em nosso… https://t.co/OPpUdO333G	marina	alysson	Não sei
twe981684768680087555	as provas chegando e eu nao sei nem qual é a matéria  feliz agora michel temer??  kkkkkkkk michel temer nao tem nada com isso mas mto bom botar a culpa de tudo nele	temer	alysson	Rejeição
twe978113950821900288	@manudeputada @PCdoB_Oficial Parabéns PC do B pelos 96 anos de patriotismo e combate à democracia! Vamos comemorar queimando a bandeira do Brasil! https://t.co/HD7GfNpJPn	manuela	alysson	Rejeição
twe978008170105921537	@manudeputada @PCdoB_Oficial Ah claro, que coisa maravilhosa que tá acontecendo na Venezuela, viva maduro, viva Fid… https://t.co/HAQESQii6b	manuela	alysson	Rejeição
